Centrality 00-10%
pT    RAA       Stat. Err   Sys. Err 
0.55  0.382639  0.00953636  0.0420903
0.65  0.467898  0.0105477   0.0514688
0.75  0.504501  0.0110628   0.0554951
0.85  0.54508   0.0119971   0.0599588
0.95  0.592464  0.0128641   0.065171 
1.05  0.615554  0.0132798   0.0677109
1.15  0.636032  0.013879    0.0699635
1.25  0.632041  0.0140141   0.0695245
1.35  0.655483  0.0147457   0.0721031
1.45  0.659063  0.0151313   0.0724969
1.55  0.644302  0.0151396   0.0708732
1.65  0.659109  0.0154942   0.072502 
1.75  0.617805  0.0148492   0.0679586
1.85  0.584772  0.0143141   0.0643249
1.95  0.586395  0.0148201   0.0645035

Centrality 10-20%
pT    RAA       Stat. Err   Sys. Err 
0.55  0.391311  0.00980064  0.0430442
0.65  0.484669  0.0109642   0.0533136
0.75  0.524692  0.0115539   0.0577161
0.85  0.575505  0.0127074   0.0633056
0.95  0.622588  0.0135726   0.0684847
1.05  0.65464   0.0141262   0.0720104
1.15  0.678126  0.0148022   0.0745939
1.25  0.676274  0.0149929   0.0743901
1.35  0.703484  0.0158277   0.0773832
1.45  0.707078  0.0162377   0.0777786
1.55  0.695705  0.0163523   0.0765275
1.65  0.713135  0.0167667   0.0784448
1.75  0.671319  0.0161385   0.0738451
1.85  0.636512  0.0155812   0.0700163
1.95  0.639472  0.0161651   0.0703419

Centrality 20-40%
pT    RAA       Stat. Err   Sys. Err 
0.55  0.431457  0.00974319  0.0474603
0.65  0.528615  0.0108685   0.0581476
0.75  0.573122  0.0116021   0.0630434
0.85  0.623392  0.012704    0.0685731
0.95  0.671658  0.0136113   0.0738824
1.05  0.707748  0.0142998   0.0778523
1.15  0.730669  0.0150444   0.0803736
1.25  0.729578  0.0153447   0.0802536
1.35  0.757733  0.0162363   0.0833506
1.45  0.763996  0.0167718   0.0840396
1.55  0.749828  0.0169195   0.0824811
1.65  0.769448  0.0173958   0.0846393
1.75  0.726496  0.0168351   0.0799146
1.85  0.6936    0.0164123   0.076296 
1.95  0.698588  0.0171039   0.0768447

Centrality 40-60%
pT    RAA       Stat. Err  Sys. Err 
0.55  0.506981  0.0117134  0.0557679
0.65  0.626021  0.0131864  0.0688623
0.75  0.661326  0.0137588  0.0727459
0.85  0.709756  0.0148721  0.0780732
0.95  0.754048  0.0157564  0.0829453
1.05  0.783649  0.0158938  0.0862014
1.15  0.800938  0.016553   0.0881032
1.25  0.794158  0.016764   0.0873574
1.35  0.821792  0.0176703  0.0903971
1.45  0.82576   0.0181926  0.0908336
1.55  0.81095   0.018357   0.0892045
1.65  0.832451  0.0188888  0.0915696
1.75  0.786238  0.0182806  0.0864862
1.85  0.75153   0.0178485  0.0826683
1.95  0.761229  0.0187021  0.0837352

Centrality 60-92%
pT    RAA       Stat. Err  Sys. Err 
0.55  0.655751  0.0159083  0.0721326
0.65  0.77447   0.0172817  0.0851917
0.75  0.780798  0.0173239  0.0858878
0.85  0.810387  0.0183487  0.0891426
0.95  0.84306   0.0192924  0.0927366
1.05  0.858416  0.0173305  0.0944258
1.15  0.86824   0.017871   0.0955064
1.25  0.846538  0.0178303  0.0931192
1.35  0.873671  0.0187639  0.0961038
1.45  0.86876   0.0191274  0.0955636
1.55  0.853363  0.0193578  0.0938699
1.65  0.874953  0.0198901  0.0962448
1.75  0.831268  0.0193953  0.0914395
1.85  0.800794  0.0191128  0.0880873
1.95  0.811044  0.0200655  0.0892148

