Centrality 00-10%
pT    RAA       Stat. Err   Sys. Err 
0.55  0.356211  0.00457272  0.032059 
0.65  0.399883  0.00522352  0.0359895
0.75  0.410955  0.00555262  0.0369859
0.85  0.454633  0.00642941  0.040917 
0.95  0.487693  0.00724008  0.0438924
1.05  0.497871  0.00766348  0.0448084
1.15  0.497458  0.00798371  0.0447712
1.25  0.524076  0.00863893  0.0471668
1.35  0.535611  0.00916617  0.048205 
1.45  0.542567  0.00953992  0.048831 
1.55  0.534979  0.00966289  0.0481481
1.65  0.532327  0.009883    0.0479094
1.75  0.532331  0.0100819   0.0479098
1.85  0.498586  0.00981103  0.0448727
1.95  0.487244  0.00994436  0.043852 
2.1   0.489392  0.00765462  0.0440453
2.3   0.437016  0.00798464  0.0393314
2.5   0.381525  0.00834371  0.0343372
2.7   0.379444  0.010192    0.03415  
2.9   0.373173  0.0125161   0.0335856

Centrality 10-20%
pT    RAA       Stat. Err   Sys. Err 
0.55  0.378329  0.00486227  0.0340496
0.65  0.426751  0.00557868  0.0384076
0.75  0.439449  0.00594449  0.0395504
0.85  0.488718  0.006918    0.0439846
0.95  0.524245  0.00779743  0.047182 
1.05  0.537085  0.0082701   0.0483377
1.15  0.53828   0.00864057  0.0484452
1.25  0.569417  0.00938786  0.0512475
1.35  0.583637  0.0099907   0.0525273
1.45  0.594329  0.0104509   0.0534896
1.55  0.588422  0.0106313   0.052958 
1.65  0.588143  0.0109212   0.0529329
1.75  0.591426  0.011204    0.0532283
1.85  0.556991  0.0109622   0.0501292
1.95  0.547082  0.0111698   0.0492374
2.1   0.555115  0.00868273  0.0499604
2.3   0.501639  0.00916523  0.0451475
2.5   0.444575  0.00972477  0.0400117
2.7   0.445579  0.0119758   0.0401021
2.9   0.443245  0.0148595   0.039892 

Centrality 20-40%
pT    RAA       Stat. Err   Sys. Err 
0.55  0.418857  0.00474376  0.0376971
0.65  0.471647  0.00551871  0.0424482
0.75  0.486394  0.00597439  0.0437755
0.85  0.539275  0.00698581  0.0485347
0.95  0.579955  0.00795993  0.0521959
1.05  0.592623  0.00848449  0.0533361
1.15  0.594074  0.00894091  0.0534667
1.25  0.62969   0.00977038  0.0566721
1.35  0.647579  0.0104845   0.0582821
1.45  0.660792  0.0110353   0.0594713
1.55  0.657091  0.0113115   0.0591382
1.65  0.660082  0.0117049   0.0594074
1.75  0.666729  0.0120933   0.0600056
1.85  0.631276  0.0119443   0.0568148
1.95  0.623034  0.0122674   0.0560731
2.1   0.636662  0.00964702  0.0572996
2.3   0.586017  0.010465    0.0527415
2.5   0.526075  0.0113173   0.0473467
2.7   0.534914  0.0142037   0.0481423
2.9   0.538859  0.0178982   0.0484973

Centrality 40-60%
pT    RAA       Stat. Err   Sys. Err 
0.55  0.50765   0.00580043  0.0456885
0.65  0.566504  0.00668864  0.0509854
0.75  0.577311  0.00716072  0.051958 
0.85  0.635422  0.00831457  0.057188 
0.95  0.675562  0.00938202  0.0608006
1.05  0.688764  0.00989507  0.0619888
1.15  0.686821  0.0103678   0.0618139
1.25  0.726083  0.0112984   0.0653475
1.35  0.746558  0.0121215   0.0671902
1.45  0.76099   0.0127451   0.0684891
1.55  0.758039  0.0130845   0.0682235
1.65  0.765689  0.0136174   0.068912 
1.75  0.775177  0.0140989   0.0697659
1.85  0.738288  0.0140075   0.0664459
1.95  0.732962  0.0144682   0.0659666
2.1   0.756181  0.0114887   0.0680563
2.3   0.707086  0.0126549   0.0636377
2.5   0.648185  0.0139759   0.0583366
2.7   0.669994  0.0178362   0.0602995
2.9   0.685959  0.0228442   0.0617363

Centrality 60-92%
pT    RAA       Stat. Err   Sys. Err 
0.55  0.674847  0.00766439  0.0607362
0.65  0.730796  0.00863669  0.0657716
0.75  0.728943  0.00911109  0.0656049
0.85  0.782216  0.0104026   0.0703994
0.95  0.822471  0.0116873   0.0740224
1.05  0.822014  0.0117116   0.0739813
1.15  0.809982  0.0121471   0.0728984
1.25  0.850634  0.0131618   0.0765571
1.35  0.869432  0.0140491   0.0782489
1.45  0.88317   0.0147318   0.0794853
1.55  0.877895  0.0151022   0.0790105
1.65  0.883912  0.0156799   0.0795521
1.75  0.895937  0.0162749   0.0806343
1.85  0.858779  0.0162901   0.0772901
1.95  0.855027  0.0168886   0.0769524
2.1   0.888779  0.0135302   0.0799901
2.3   0.841709  0.0151261   0.0757538
2.5   0.773906  0.0167702   0.0696515
2.7   0.809211  0.0216719   0.072829 
2.9   0.829282  0.0278354   0.0746354

