Centrality 00-10%
pT    RAA       Stat. Err   Sys. Err 
0.55  0.159422  0.00311461  0.0159422
0.65  0.215847  0.00383587  0.0215847
0.75  0.266093  0.00467219  0.0266093
0.85  0.339447  0.00591256  0.0339447
0.95  0.409526  0.00726648  0.0409526
1.05  0.48172   0.00851348  0.048172 
1.15  0.578483  0.0105116   0.0578483
1.25  0.639557  0.0119428   0.0639557
1.35  0.719119  0.0138985   0.0719119
1.45  0.79872   0.0159125   0.079872 
1.55  0.854025  0.0173878   0.0854025
1.65  0.935617  0.0195724   0.0935617
1.75  0.979298  0.0211641   0.0979298
1.85  1.07234   0.0236339   0.107234 
1.95  1.10027   0.0251055   0.110027 
2.1   1.16348   0.0201559   0.116348 
2.3   1.10923   0.0209654   0.110923 
2.5   1.19422   0.0247798   0.119422 
2.7   1.16269   0.027546    0.116269 
2.9   1.16947   0.0322762   0.116947 
3.2   0.992182  0.0238691   0.10914  
3.6   0.848792  0.0290273   0.0933671
4     0.686812  0.0346657   0.0755493
4.4   0.551696  0.0400755   0.0606866

Centrality 10-20%
pT    RAA       Stat. Err   Sys. Err 
0.55  0.168268  0.00332767  0.0168268
0.65  0.231908  0.00415646  0.0231908
0.75  0.286528  0.00506201  0.0286528
0.85  0.363389  0.00636349  0.0363389
0.95  0.43769   0.00780172  0.043769 
1.05  0.514013  0.00908117  0.0514013
1.15  0.615515  0.0111784   0.0615515
1.25  0.680292  0.0126988   0.0680292
1.35  0.762673  0.0147348   0.0762673
1.45  0.845737  0.016845    0.0845737
1.55  0.904508  0.0184127   0.0904508
1.65  0.989797  0.0206958   0.0989797
1.75  1.03729   0.0224104   0.103729 
1.85  1.13453   0.0250037   0.113453 
1.95  1.16929   0.0266672   0.116929 
2.1   1.23466   0.0213826   0.123466 
2.3   1.19043   0.0224923   0.119043 
2.5   1.29062   0.0267882   0.129062 
2.7   1.27413   0.0302127   0.127413 
2.9   1.28902   0.035617    0.128902 
3.2   1.11162   0.026789    0.122278 
3.6   0.967472  0.0331289   0.106422 
4     0.807101  0.0407565   0.0887811
4.4   0.655325  0.0476419   0.0720858

Centrality 20-40%
pT    RAA       Stat. Err   Sys. Err 
0.55  0.195816  0.00342649  0.0195816
0.65  0.270941  0.00436882  0.0270941
0.75  0.334275  0.00539889  0.0334275
0.85  0.417054  0.00673292  0.0417054
0.95  0.494979  0.00821083  0.0494979
1.05  0.575207  0.00955     0.0575207
1.15  0.68011   0.0116602   0.068011 
1.25  0.741753  0.0131475   0.0741753
1.35  0.823741  0.0151729   0.0823741
1.45  0.907087  0.017281    0.0907087
1.55  0.963144  0.0188207   0.0963144
1.65  1.04903   0.0211035   0.104903 
1.75  1.09378   0.0228105   0.109378 
1.85  1.19331   0.0254319   0.119331 
1.95  1.22208   0.0270247   0.122208 
2.1   1.29675   0.0218605   0.129675 
2.3   1.25305   0.0231593   0.125305 
2.5   1.36579   0.0278379   0.136579 
2.7   1.35423   0.0316731   0.135423 
2.9   1.38971   0.0379703   0.138971 
3.2   1.20963   0.0289173   0.133059 
3.6   1.08678   0.0370417   0.119546 
4     0.926833  0.0466456   0.101952 
4.4   0.76273   0.055303    0.0839003

Centrality 40-60%
pT    RAA       Stat. Err   Sys. Err 
0.55  0.281681  0.00517887  0.0281681
0.65  0.370637  0.00621676  0.0370637
0.75  0.445122  0.00742472  0.0445122
0.85  0.540642  0.00900023  0.0540642
0.95  0.620095  0.0106148   0.0620095
1.05  0.692837  0.0115238   0.0692837
1.15  0.792579  0.0136149   0.0792579
1.25  0.84353   0.0149771   0.084353 
1.35  0.914324  0.0168722   0.0914324
1.45  0.983752  0.0187726   0.0983752
1.55  1.02557   0.0200817   0.102557 
1.65  1.10061   0.0221806   0.110061 
1.75  1.13564   0.0237424   0.113564 
1.85  1.22532   0.0261713   0.122532 
1.95  1.24276   0.0275508   0.124276 
2.1   1.30849   0.0221258   0.130849 
2.3   1.25533   0.0232972   0.125533 
2.5   1.37603   0.0281805   0.137603 
2.7   1.35867   0.0319584   0.135867 
2.9   1.41268   0.0388683   0.141268 
3.2   1.25814   0.0302968   0.138395 
3.6   1.15958   0.0398346   0.127554 
4     1.02853   0.052167    0.113138 
4.4   0.86807   0.0634887   0.0954877

Centrality 60-92%
pT    RAA       Stat. Err  Sys. Err 
0.55  0.445188  0.0090708  0.0445188
0.65  0.597039  0.0108456  0.0597039
0.75  0.650185  0.0117364  0.0650185
0.85  0.72141   0.0130918  0.072141 
0.95  0.787664  0.0148038  0.0787664
1.05  0.836479  0.0138405  0.0836479
1.15  0.919065  0.0157278  0.0919065
1.25  0.932884  0.0165137  0.0932884
1.35  0.974874  0.0179647  0.0974874
1.45  1.01662   0.0194048  0.101662 
1.55  1.03628   0.0203192  0.103628 
1.65  1.08202   0.0218552  0.108202 
1.75  1.09168   0.0229043  0.109168 
1.85  1.16274   0.0249517  0.116274 
1.95  1.16955   0.0261022  0.116955 
2.1   1.20725   0.0206129  0.120725 
2.3   1.15112   0.0216871  0.115112 
2.5   1.24383   0.0259832  0.124383 
2.7   1.24611   0.0300219  0.124611 
2.9   1.29471   0.0366979  0.129471 
3.2   1.15493   0.0287861  0.127042 
3.6   1.12494   0.040063   0.123743 
4     1.04857   0.0550872  0.115343 
4.4   0.902964  0.0684785  0.099326 

