Centrality 0-100%
pT    RdA       Stat. Err  Sys. Err 
0.55  0.554097  0.0141107  0.0720326
0.65  0.641409  0.0144666  0.0833832
0.75  0.709599  0.0155153  0.0922479
0.85  0.725654  0.0156286  0.094335 
0.95  0.795828  0.0170479  0.103458 
1.05  0.835478  0.0180828  0.108612 
1.15  0.874432  0.0193002  0.113676 
1.25  0.885537  0.0198402  0.11512  
1.35  0.910792  0.0207238  0.118403 
1.45  0.937131  0.0217819  0.121827 
1.55  0.966766  0.0231067  0.12568  
1.65  1.03738   0.0248692  0.134859 
1.75  0.992929  0.0243508  0.129081 
1.85  0.982783  0.0246134  0.127762 
1.95  0.993495  0.0255473  0.129154 

Centrality 00-20%
pT    RdA       Stat. Err  Sys. Err 
0.55  0.518471  0.0132683  0.0674012
0.65  0.610258  0.0138272  0.0793335
0.75  0.687148  0.0150904  0.0893292
0.85  0.711844  0.015411   0.0925397
0.95  0.792581  0.017082   0.103036 
1.05  0.833359  0.0181687  0.108337 
1.15  0.873752  0.0194555  0.113588 
1.25  0.892297  0.0201641  0.115999 
1.35  0.926499  0.0213007  0.120445 
1.45  0.953948  0.0224493  0.124013 
1.55  0.985571  0.0238953  0.128124 
1.65  1.072     0.0261126  0.13936  
1.75  1.01377   0.0253202  0.13179  
1.85  1.01111   0.0258561  0.131444 
1.95  1.02402   0.0269535  0.133123 

Centrality 20-40%
pT    RdA       Stat. Err  Sys. Err 
0.55  0.566952  0.0145435  0.0737038
0.65  0.657648  0.0149533  0.0854942
0.75  0.732666  0.0161619  0.0952466
0.85  0.750592  0.0163188  0.097577 
0.95  0.823136  0.0178328  0.107008 
1.05  0.86896   0.0190275  0.112965 
1.15  0.916157  0.0204917  0.1191   
1.25  0.92381   0.0210693  0.120095 
1.35  0.947712  0.0220007  0.123203 
1.45  0.973698  0.023137   0.126581 
1.55  1.02155   0.0250034  0.132801 
1.65  1.07652   0.0266294  0.139948 
1.75  1.04305   0.0264572  0.135597 
1.85  1.02909   0.0269167  0.133782 
1.95  1.05725   0.0284138  0.137442 

Centrality 40-60%
pT    RdA       Stat. Err  Sys. Err 
0.55  0.619035  0.0159707  0.0804746
0.65  0.704212  0.0161122  0.0915476
0.75  0.770695  0.0171005  0.10019  
0.85  0.775989  0.0169864  0.100879 
0.95  0.85022   0.0185487  0.110529 
1.05  0.881783  0.0195302  0.114632 
1.15  0.919694  0.0208558  0.11956  
1.25  0.927287  0.0214384  0.120547 
1.35  0.950359  0.022429   0.123547 
1.45  0.983236  0.0238256  0.127821 
1.55  0.998459  0.0250405  0.1298   
1.65  1.07445   0.0272199  0.139678 
1.75  1.03038   0.0269053  0.133949 
1.85  1.00546   0.0270419  0.13071  
1.95  1.00283   0.0280014  0.130368 

Centrality 60-88%
pT    RdA       Stat. Err  Sys. Err 
0.55  0.645965  0.016766   0.0839755
0.65  0.725928  0.0167219  0.0943706
0.75  0.759596  0.0169914  0.0987475
0.85  0.758085  0.0167559  0.0985511
0.95  0.789284  0.0174551  0.102607 
1.05  0.828411  0.0186202  0.107693 
1.15  0.850376  0.0195993  0.110549 
1.25  0.849405  0.0200729  0.110423 
1.35  0.852423  0.0206635  0.110815 
1.45  0.870104  0.0217032  0.113114 
1.55  0.875404  0.0226974  0.113803 
1.65  0.928485  0.0245684  0.120703 
1.75  0.900777  0.0246485  0.117101 
1.85  0.892469  0.0253701  0.116021 
1.95  0.875299  0.0260394  0.113789 

