Centrality 0-100%
pT    RdA       Stat. Err   Sys. Err 
0.55  0.588097  0.0077863   0.0470478
0.65  0.659832  0.00875111  0.0527866
0.75  0.708638  0.00971982  0.056691 
0.85  0.772398  0.010915    0.0617918
0.95  0.805743  0.0119002   0.0644594
1.05  0.858874  0.0132075   0.0687099
1.15  0.880302  0.0141932   0.0704242
1.25  0.950599  0.0157806   0.0760479
1.35  0.977178  0.0168007   0.0781742
1.45  1.01358   0.0179283   0.0810864
1.55  1.04449   0.0190753   0.0835592
1.65  1.05316   0.0196856   0.0842528
1.75  1.10453   0.0211657   0.0883624
1.85  1.07918   0.0214594   0.0863344
1.95  1.10582   0.0228409   0.0884656
2.1   1.16908   0.0185497   0.0935264
2.3   1.14786   0.0212698   0.0918288
2.5   1.08637   0.0241525   0.0869096
2.7   1.16947   0.031947    0.0935576
2.9   1.1919    0.0406946   0.095352 

Centrality 00-20%
pT    RdA       Stat. Err   Sys. Err 
0.55  0.545752  0.00723337  0.0436602
0.65  0.621399  0.00824887  0.0497119
0.75  0.676623  0.00929005  0.0541298
0.85  0.74561   0.0105494   0.0596488
0.95  0.78483   0.0116115   0.0627864
1.05  0.840973  0.0129621   0.0672778
1.15  0.869017  0.0140457   0.0695214
1.25  0.94486   0.0157314   0.0755888
1.35  0.976838  0.0168568   0.078147 
1.45  1.02068   0.0181419   0.0816544
1.55  1.05555   0.0193902   0.084444 
1.65  1.06454   0.0200419   0.0851632
1.75  1.12127   0.0216786   0.0897016
1.85  1.09703   0.0220321   0.0877624
1.95  1.13171   0.0236348   0.0905368
2.1   1.19773   0.0192588   0.0958184
2.3   1.1776    0.0221525   0.094208 
2.5   1.12635   0.025471    0.090108 
2.7   1.23058   0.0342843   0.0984464
2.9   1.27095   0.0442444   0.101676 

Centrality 20-40%
pT    RdA       Stat. Err   Sys. Err 
0.55  0.5998    0.00795226  0.047984 
0.65  0.675881  0.00898193  0.0540705
0.75  0.728145  0.0100107   0.0582516
0.85  0.797081  0.0112928   0.0637665
0.95  0.833976  0.0123551   0.0667181
1.05  0.890993  0.0137504   0.0712794
1.15  0.915043  0.0148258   0.0732034
1.25  0.986987  0.0164841   0.078959 
1.35  1.01945   0.0176569   0.081556 
1.45  1.06005   0.0189004   0.084804 
1.55  1.09258   0.0201457   0.0874064
1.65  1.10769   0.0209532   0.0886152
1.75  1.15645   0.0224981   0.092516 
1.85  1.13895   0.0230365   0.091116 
1.95  1.15373   0.0243388   0.0922984
2.1   1.22201   0.0198836   0.0977608
2.3   1.19697   0.0228175   0.0957576
2.5   1.14578   0.0263317   0.0916624
2.7   1.22414   0.0346702   0.0979312
2.9   1.24938   0.0445858   0.0999504

Centrality 40-60%
pT    RdA       Stat. Err   Sys. Err 
0.55  0.659986  0.00876234  0.0527989
0.65  0.732805  0.00975011  0.0586244
0.75  0.78033   0.0107441   0.0624264
0.85  0.842854  0.0119648   0.0674283
0.95  0.872453  0.0129627   0.0697962
1.05  0.924187  0.0142973   0.073935 
1.15  0.94406   0.0153442   0.0755248
1.25  1.01759   0.0170693   0.0814072
1.35  1.03642   0.0180352   0.0829136
1.45  1.06446   0.0191141   0.0851568
1.55  1.09694   0.0204169   0.0877552
1.65  1.10477   0.0211209   0.0883816
1.75  1.15542   0.0227485   0.0924336
1.85  1.12508   0.0231152   0.0900064
1.95  1.14872   0.0246545   0.0918976
2.1   1.21368   0.0201627   0.0970944
2.3   1.19265   0.023306    0.095412 
2.5   1.10428   0.0260919   0.0883424
2.7   1.177     0.0344669   0.09416  
2.9   1.17566   0.0433325   0.0940528

Centrality 60-88%
pT    RdA       Stat. Err   Sys. Err 
0.55  0.702366  0.00933254  0.0561893
0.65  0.759346  0.0101177   0.0607477
0.75  0.786185  0.0108464   0.0628948
0.85  0.830582  0.011825    0.0664466
0.95  0.844899  0.0125856   0.0675919
1.05  0.888357  0.0138138   0.0710686
1.15  0.885143  0.0144791   0.0708114
1.25  0.937708  0.0158338   0.0750166
1.35  0.946289  0.0166253   0.0757031
1.45  0.96374   0.0175035   0.0770992
1.55  0.978969  0.0184951   0.0783175
1.65  0.973916  0.0189532   0.0779133
1.75  1.02109   0.0205547   0.0816872
1.85  0.976431  0.020612    0.0781145
1.95  1.01047   0.0223677   0.0808376
2.1   1.05927   0.0182051   0.0847416
2.3   1.03933   0.0211561   0.0831464
2.5   0.946018  0.0234509   0.0756814
2.7   0.991645  0.0307183   0.0793316
2.9   0.980517  0.0384666   0.0784414

