Centrality 0-100%
pT    RdA       Stat. Err   Sys. Err 
0.55  0.352096  0.00660201  0.0316886
0.65  0.471321  0.00808654  0.0424189
0.75  0.549503  0.00934249  0.0494553
0.85  0.658113  0.0110825   0.0592302
0.95  0.742409  0.0128225   0.0668168
1.05  0.827293  0.0145459   0.0744564
1.15  0.923648  0.0167968   0.0831283
1.25  0.964805  0.0180674   0.0868325
1.35  1.0305    0.0199933   0.092745 
1.45  1.08988   0.0218706   0.0980892
1.55  1.15062   0.0236594   0.103556 
1.65  1.21517   0.0256844   0.109365 
1.75  1.25783   0.0275855   0.113205 
1.85  1.36371   0.0306222   0.122734 
1.95  1.34701   0.0313577   0.121231 
2.1   1.45047   0.0257271   0.130542 
2.3   1.4345    0.0280412   0.129105 
2.5   1.60414   0.0347018   0.144373 
2.7   1.61996   0.040158    0.145796 
2.9   1.70778   0.049579    0.1537   
3.2   1.58054   0.0404771   0.173859 
3.6   1.55833   0.0567781   0.171416 
4     1.44888   0.0776199   0.159377 
4.4   1.27637   0.0988088   0.140401 

Centrality 00-20%
pT    RdA       Stat. Err   Sys. Err 
0.55  0.311269  0.00589017  0.0280142
0.65  0.428021  0.00740111  0.0385219
0.75  0.510563  0.0087404   0.0459507
0.85  0.626927  0.0106275   0.0564234
0.95  0.719037  0.0125012   0.0647133
1.05  0.812075  0.0143791   0.0730867
1.15  0.917428  0.016812    0.0825685
1.25  0.968389  0.0182906   0.087155 
1.35  1.05232   0.0206186   0.0947088
1.45  1.12992   0.0229368   0.101693 
1.55  1.20687   0.0251175   0.108618 
1.65  1.28115   0.0274824   0.115304 
1.75  1.33705   0.0298126   0.120334 
1.85  1.46011   0.0334599   0.13141  
1.95  1.44872   0.034546    0.130385 
2.1   1.57175   0.0286144   0.141457 
2.3   1.58198   0.0320374   0.142378 
2.5   1.78      0.0401689   0.1602   
2.7   1.81203   0.0470984   0.163083 
2.9   1.93884   0.0592042   0.174496 
3.2   1.7213    0.0469373   0.189343 
3.6   1.72113   0.0670962   0.189324 
4     1.53844   0.0882658   0.169228 
4.4   1.35699   0.112773    0.149269 

Centrality 20-40%
pT    RdA       Stat. Err   Sys. Err 
0.55  0.362031  0.00690493  0.0325828
0.65  0.483019  0.00839492  0.0434717
0.75  0.564518  0.00970548  0.0508066
0.85  0.679575  0.0115715   0.0611618
0.95  0.769821  0.0134522   0.0692839
1.05  0.860654  0.015316    0.0774589
1.15  0.966399  0.017816    0.0869759
1.25  1.01383   0.0192749   0.0912447
1.35  1.07925   0.0213213   0.0971325
1.45  1.14173   0.0233961   0.102756 
1.55  1.20234   0.0253577   0.108211 
1.65  1.27553   0.0277089   0.114798 
1.75  1.32178   0.0299882   0.11896  
1.85  1.44274   0.0336325   0.129847 
1.95  1.41897   0.0345831   0.127707 
2.1   1.53887   0.0287827   0.138498 
2.3   1.51296   0.0315703   0.136166 
2.5   1.68301   0.039573    0.151471 
2.7   1.69792   0.0464537   0.152813 
2.9   1.80177   0.0584491   0.162159 
3.2   1.71334   0.0494788   0.188467 
3.6   1.6506    0.0684149   0.181566 
4     1.50637   0.0925881   0.165701 
4.4   1.37021   0.122063    0.150723 

Centrality 40-60%
pT    RdA       Stat. Err   Sys. Err 
0.55  0.408685  0.00786756  0.0367816
0.65  0.543609  0.00952248  0.0489248
0.75  0.622019  0.0107684   0.0559817
0.85  0.728315  0.0124938   0.0655484
0.95  0.811646  0.0142988   0.0730481
1.05  0.895921  0.0160959   0.0806329
1.15  0.98764   0.0184065   0.0888876
1.25  1.01848   0.0196333   0.0916632
1.35  1.07722   0.0216023   0.0969498
1.45  1.11543   0.0232582   0.100389 
1.55  1.17414   0.0252824   0.105673 
1.65  1.23321   0.0275228   0.110989 
1.75  1.25302   0.0292106   0.112772 
1.85  1.34779   0.0326221   0.121301 
1.95  1.31419   0.0333884   0.118277 
2.1   1.40621   0.0276935   0.126559 
2.3   1.3658    0.0304566   0.122922 
2.5   1.51907   0.038832    0.136716 
2.7   1.54195   0.0461408   0.138775 
2.9   1.58177   0.0566509   0.142359 
3.2   1.52248   0.049189    0.167473 
3.6   1.43128   0.0670216   0.157441 
4     1.62225   0.107934    0.178448 
4.4   1.28983   0.127587    0.141881 

Centrality 60-88%
pT    RdA       Stat. Err   Sys. Err 
0.55  0.450128  0.00876282  0.0405115
0.65  0.570004  0.0100815   0.0513004
0.75  0.636503  0.0111231   0.0572853
0.85  0.722211  0.012527    0.064999 
0.95  0.778759  0.013879    0.0700883
1.05  0.834201  0.0151957   0.0750781
1.15  0.897662  0.0170227   0.0807896
1.25  0.909928  0.0179299   0.0818935
1.35  0.930384  0.0191473   0.0837346
1.45  0.956581  0.0205993   0.0860923
1.55  0.971051  0.0217534   0.0873946
1.65  0.998003  0.0233001   0.0898203
1.75  1.02422   0.025202    0.0921798
1.85  1.06494   0.027541    0.0958446
1.95  1.06775   0.0292881   0.0960975
2.1   1.09423   0.0236481   0.0984807
2.3   1.03958   0.026093    0.0935622
2.5   1.1556    0.0338653   0.104004 
2.7   1.10654   0.0389105   0.0995886
2.9   1.09883   0.0473387   0.0988947
3.2   1.08951   0.0426835   0.119846 
3.6   1.18025   0.0648725   0.129828 
4     0.961183  0.0810248   0.10573  
4.4   0.943267  0.111811    0.103759 

