Centrality 0-100%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  0.13487      0.00327733   0.0175331  
0.65  0.0941187    0.00188419   0.0122354  
0.75  0.0714253    0.00132053   0.00928529 
0.85  0.0497595    0.00084957   0.00646873 
0.95  0.0357866    0.000588556  0.00465226 
1.05  0.0261331    0.000419811  0.0033973  
1.15  0.0186963    0.000293196  0.00243052 
1.25  0.0135424    0.000208637  0.00176051 
1.35  0.00980078   0.000148638  0.0012741  
1.45  0.00721239   0.000107243  0.000937611
1.55  0.00557263   8.35238e-05  0.000724442
1.65  0.00421418   6.32863e-05  0.000547843
1.75  0.00320363   4.80891e-05  0.000416472
1.85  0.00244623   3.68301e-05  0.00031801 
1.95  0.00184059   2.76791e-05  0.000239277
2.1   0.00136613   1.50054e-05  0.000177597
2.3   0.000886801  1.0038e-05   0.000115284
2.5   0.00053584   6.79425e-06  6.96592e-05
2.7   0.000338479  4.97104e-06  4.40023e-05
2.9   0.000223165  3.89258e-06  2.90115e-05
3.25  0.000113231  1.76713e-06  1.472e-05  

Centrality 00-20%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  0.250919     0.00615895   0.0326195  
0.65  0.177498     0.00359708   0.0230747  
0.75  0.137035     0.00256531   0.0178145  
0.85  0.0968444    0.00168134   0.0125898  
0.95  0.0707686    0.00118765   0.00919992 
1.05  0.0518797    0.000854414  0.00674436 
1.15  0.0372544    0.000602495  0.00484307 
1.25  0.0269515    0.000431467  0.0035037  
1.35  0.0197476    0.000314124  0.00256719 
1.45  0.0146036    0.000230174  0.00189847 
1.55  0.0113212    0.000181375  0.00147176 
1.65  0.00863061   0.000140269  0.00112198 
1.75  0.00648503   0.000106805  0.000843054
1.85  0.00497353   8.3797e-05   0.000646559
1.95  0.00374531   6.41496e-05  0.00048689 
2.1   0.00274637   3.5172e-05   0.000357028
2.3   0.00176314   2.41218e-05  0.000229208
2.5   0.00108277   1.7315e-05   0.00014076 
2.7   0.000675111  1.30783e-05  8.77644e-05
2.9   0.000432405  1.03622e-05  5.62127e-05
3.25  0.000214351  4.80346e-06  2.78656e-05

Centrality 20-40%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  0.185841     0.00459135   0.0241593  
0.65  0.130163     0.0026573    0.0169212  
0.75  0.0998151    0.00188861   0.012976   
0.85  0.069568     0.00122199   0.00904384 
0.95  0.0501126    0.000854706  0.00651464 
1.05  0.0364341    0.000612383  0.00473643 
1.15  0.0262284    0.000434837  0.00340969 
1.25  0.0191631    0.000315931  0.0024912  
1.35  0.0137745    0.000227804  0.00179069 
1.45  0.0100755    0.000166603  0.00130981 
1.55  0.00788334   0.000133181  0.00102483 
1.65  0.00592084   0.000102671  0.000769709
1.75  0.0045268    7.9971e-05   0.000588484
1.85  0.00352913   6.43681e-05  0.000458787
1.95  0.00264883   4.96652e-05  0.000344348
2.1   0.00195897   2.77628e-05  0.000254666
2.3   0.00128153   1.96293e-05  0.000166599
2.5   0.000764276  1.40595e-05  9.93559e-05
2.7   0.000487531  1.08864e-05  6.3379e-05 
2.9   0.000319606  8.83815e-06  4.15488e-05
3.25  0.000171703  4.40169e-06  2.23214e-05

Centrality 40-60%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  0.130277     0.00324781   0.016936   
0.65  0.0901839    0.00186491   0.0117239  
0.75  0.0672582    0.00129397   0.00874357 
0.85  0.0461227    0.000828417  0.00599595 
0.95  0.0329815    0.000577381  0.00428759 
1.05  0.0240036    0.000416823  0.00312047 
1.15  0.0171222    0.000295611  0.00222589 
1.25  0.0123074    0.000213523  0.00159996 
1.35  0.00887452   0.000156296  0.00115369 
1.45  0.0065991    0.000117274  0.000857883
1.55  0.00502918   9.2461e-05   0.000653793
1.65  0.00376703   7.20362e-05  0.000489714
1.75  0.00289894   5.69765e-05  0.000376862
1.85  0.00212096   4.42995e-05  0.000275725
1.95  0.00159726   3.48049e-05  0.000207644
2.1   0.0012376    2.04816e-05  0.000160888
2.3   0.000809932  1.46852e-05  0.000105291
2.5   0.000489742  1.08826e-05  6.36665e-05
2.7   0.000306663  8.42629e-06  3.98662e-05
2.9   0.000209119  7.12809e-06  2.71855e-05
3.25  0.000107679  3.4639e-06   1.39983e-05

Centrality 60-88%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  0.066453     0.00167498   0.00863889 
0.65  0.0446918    0.000940731  0.00580993 
0.75  0.0321893    0.00063258   0.00418461 
0.85  0.0218606    0.000403895  0.00284188 
0.95  0.014932     0.000272344  0.00194116 
1.05  0.0109243    0.000199003  0.00142016 
1.15  0.00762502   0.000139892  0.000991253
1.25  0.00549517   0.000102446  0.000714372
1.35  0.00388152   7.48584e-05  0.000504598
1.45  0.00279727   5.55412e-05  0.000363645
1.55  0.00210931   4.39965e-05  0.00027421 
1.65  0.00159735   3.50321e-05  0.000207656
1.75  0.00122902   2.80889e-05  0.000159773
1.85  0.000934434  2.28599e-05  0.000121476
1.95  0.000704478  1.81895e-05  9.15821e-05
2.1   0.000516822  1.03814e-05  6.71869e-05
2.3   0.000338701  7.57122e-06  4.40311e-05
2.5   0.00019834   5.54465e-06  2.57842e-05
2.7   0.000130569  4.50755e-06  1.6974e-05 
2.9   9.23272e-05  3.95793e-06  1.20025e-05
3.25  4.26106e-05  1.80716e-06  5.53938e-06

