Centrality 00-10%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  64.4966      0.798992     5.80469    
0.65  41.1903      0.494075     3.70713    
0.75  24.9834      0.288644     2.24851    
0.85  16.6022      0.195308     1.4942     
0.95  11.0994      0.130991     0.998946   
1.05  7.31296      0.0855602    0.658166   
1.15  4.88982      0.0561573    0.440084   
1.25  3.32535      0.0380133    0.299281   
1.35  2.32585      0.0265908    0.209326   
1.45  1.61954      0.0183807    0.145759   
1.55  1.10901      0.0124477    0.0998109  
1.65  0.789459     0.00890067   0.0710513  
1.75  0.555767     0.0062149    0.050019   
1.85  0.38974      0.00433641   0.0350766  
1.95  0.280782     0.00310559   0.0252704  
2.1   0.175422     0.00138876   0.015788   
2.3   0.0926823    0.000737789  0.00834141 
2.5   0.0511268    0.000418774  0.00460141 
2.7   0.0290497    0.000252014  0.00261447 
2.9   0.0173556    0.000164926  0.001562   
3.25  0.00738957   5.50193e-05  0.000738957
3.75  0.00227597   2.50079e-05  0.000227597
4.25  0.000817593  1.40531e-05  8.17593e-05
4.75  0.000323376  8.84378e-06  3.23376e-05
5.25  0.00014537   1.12467e-05  2.03518e-05
5.75  5.70903e-05  7.74968e-06  7.99264e-06

Centrality 10-20%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  43.4363      0.539478     3.90927    
0.65  27.8565      0.335019     2.50709    
0.75  16.9561      0.196491     1.52605    
0.85  11.2952      0.133389     1.01657    
0.95  7.59775      0.090046     0.683797   
1.05  5.01393      0.0587133    0.451254   
1.15  3.36098      0.0386207    0.302488   
1.25  2.29481      0.0262475    0.206533   
1.35  1.61032      0.0184229    0.144929   
1.45  1.12594      0.0127868    0.101335   
1.55  0.775265     0.00870694   0.0697738  
1.65  0.553811     0.00625056   0.049843   
1.75  0.39235      0.00439066   0.0353115  
1.85  0.276338     0.0030797    0.0248704  
1.95  0.200431     0.00222018   0.0180388  
2.1   0.126243     0.00100061   0.0113619  
2.3   0.0674805    0.000537643  0.00607324 
2.5   0.0378272    0.000310592  0.00340445 
2.7   0.0217179    0.000189062  0.00195461 
2.9   0.0130293    0.000124539  0.00117264 
3.25  0.00568356   4.25617e-05  0.000568356
3.75  0.0017593    1.95931e-05  0.00017593 
4.25  0.000637129  1.11502e-05  6.37129e-05
4.75  0.000257158  7.16795e-06  2.57158e-05
5.25  0.000123179  9.45859e-06  1.72451e-05
5.75  5.23992e-05  6.881e-06    7.33589e-06

Centrality 20-40%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  23.7843      0.214257     2.14059    
0.65  15.1981      0.132629     1.36783    
0.75  9.26003      0.078084     0.833403   
0.85  6.18182      0.0531873    0.556364   
0.95  4.15102      0.0359334    0.373592   
1.05  2.73107      0.0231358    0.245796   
1.15  1.83101      0.0152232    0.164791   
1.25  1.25276      0.0103675    0.112748   
1.35  0.882125     0.00730316   0.0793912  
1.45  0.618089     0.00507914   0.055628   
1.55  0.426986     0.00347008   0.0384287  
1.65  0.306658     0.00250456   0.0275992  
1.75  0.218353     0.00176923   0.0196518  
1.85  0.154607     0.00124806   0.0139146  
1.95  0.112742     0.000904757  0.0101468  
2.1   0.0715072    0.0004105    0.00643565 
2.3   0.0389636    0.000225331  0.00350672 
2.5   0.0221022    0.000131997  0.0019892  
2.7   0.0128975    8.19744e-05  0.00116077 
2.9   0.00782897   5.49923e-05  0.000704607
3.25  0.00345184   1.92473e-05  0.000345184
3.75  0.0010971    9.33395e-06  0.00010971 
4.25  0.000394557  5.45835e-06  3.94557e-05
4.75  0.000158603  3.55628e-06  1.58603e-05
5.25  7.08059e-05  4.57745e-06  9.91283e-06
5.75  3.07084e-05  3.36041e-06  4.29918e-06

Centrality 40-60%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  9.02723      0.0835056    0.812451   
0.65  5.71261      0.0514496    0.514135   
0.75  3.44525      0.030174     0.310073   
0.85  2.27489      0.0204894    0.20474    
0.95  1.51307      0.0138547    0.136176   
1.05  0.99487      0.00858943   0.0895383  
1.15  0.663099     0.00561851   0.0596789  
1.25  0.452333     0.00381937   0.04071    
1.35  0.318626     0.00269365   0.0286763  
1.45  0.223169     0.0018743    0.0200852  
1.55  0.15436      0.00128355   0.0138924  
1.65  0.111605     0.000934137  0.0100444  
1.75  0.0795171    0.000661512  0.00715654 
1.85  0.0566591    0.000470567  0.00509932 
1.95  0.041495     0.000343366  0.00373455 
