Centrality 00-10%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  1.63184      0.0349439    0.163184   
0.65  1.74341      0.0310593    0.174341   
0.75  1.69021      0.0272871    0.169021   
0.85  1.48112      0.0223482    0.148112   
0.95  1.30446      0.0190199    0.130446   
1.05  1.06669      0.0137462    0.106669   
1.15  0.921812     0.0118273    0.0921812  
1.25  0.721632     0.00891787   0.0721632  
1.35  0.588206     0.00723553   0.0588206  
1.45  0.4759       0.00579899   0.04759    
1.55  0.363244     0.00434768   0.0363244  
1.65  0.282035     0.00333664   0.0282035  
1.75  0.219094     0.00258801   0.0219094  
1.85  0.168801     0.00197563   0.0168801  
1.95  0.129202     0.00151412   0.0129202  
2.1   0.0876263    0.00073131   0.00876263 
2.3   0.0489615    0.000406502  0.00489615 
2.5   0.0282302    0.000236479  0.00282302 
2.7   0.0160799    0.000136159  0.00160799 
2.9   0.00942618   8.23834e-05  0.000942618
3.25  0.00386689   2.40708e-05  0.000425358
3.75  0.00110722   8.61012e-06  0.000121794
4.25  0.000357642  3.98296e-06  3.93406e-05
4.75  0.000140161  2.41681e-06  1.54177e-05
5.25  4.67511e-05  2.22275e-06  6.54515e-06
5.75  2.16147e-05  1.65323e-06  3.02606e-06

Centrality 10-20%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  1.10908      0.0242718    0.110908   
0.65  1.20648      0.0218636    0.120648   
0.75  1.16683      0.0191652    0.116683   
0.85  1.01356      0.0155523    0.101356   
0.95  0.89753      0.0133114    0.089753   
1.05  0.726942     0.00937875   0.0726942  
1.15  0.627666     0.00805924   0.0627666  
1.25  0.489695     0.00605806   0.0489695  
1.35  0.397792     0.00489971   0.0397792  
1.45  0.320996     0.00391727   0.0320996  
1.55  0.244847     0.00293498   0.0244847  
1.65  0.190229     0.00225474   0.0190229  
1.75  0.147839     0.00174992   0.0147839  
1.85  0.113552     0.00133191   0.0113552  
1.95  0.0876179    0.00102973   0.00876179 
2.1   0.0592483    0.00049628   0.00592483 
2.3   0.033494     0.000279391  0.0033494  
2.5   0.0193803    0.000163368  0.00193803 
2.7   0.0111538    9.54527e-05  0.00111538 
2.9   0.00657361   5.83624e-05  0.000657361
3.25  0.00273714   1.74155e-05  0.000301085
3.75  0.000801142  6.45998e-06  8.81256e-05
4.25  0.000267722  3.10498e-06  2.94494e-05
4.75  0.000103858  1.88286e-06  1.14244e-05
5.25  3.50734e-05  1.75609e-06  4.91028e-06
5.75  1.525e-05    1.25318e-06  2.135e-06  

Centrality 20-40%
pT    Inv. Yield   Stat. Err    Sys. Err   
