Centrality 0-100%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  0.0287267    0.000558349  0.0025854  
0.65  0.0300017    0.000484678  0.00270015 
0.75  0.0273415    0.000394795  0.00246073 
0.85  0.0236132    0.000320839  0.00212519 
0.95  0.0187925    0.000244815  0.00169133 
1.05  0.0150487    0.00019307   0.00135438 
1.15  0.0118297    0.000152243  0.00106467 
1.25  0.00891875   0.000114463  0.000802687
1.35  0.00687331   8.79273e-05  0.000618598
1.45  0.00521242   6.65632e-05  0.000469118
1.55  0.00395399   5.10423e-05  0.000355859
1.65  0.00295994   3.84091e-05  0.000266395
1.75  0.00224581   2.94472e-05  0.000202123
1.85  0.00170831   2.2995e-05   0.000153748
1.95  0.00125653   1.72117e-05  0.000113088
2.1   0.000867672  8.80053e-06  7.80905e-05
2.3   0.000492754  5.45018e-06  4.43479e-05
2.5   0.000295411  3.65611e-06  2.6587e-05 
2.7   0.000176163  2.46059e-06  1.58547e-05
2.9   0.000108202  1.76011e-06  9.73818e-06
3.25  4.75947e-05  6.49524e-07  5.23542e-06
3.75  1.62987e-05  3.36322e-07  1.79286e-06
4.25  6.12934e-06  2.021e-07    6.74227e-07
4.75  2.62378e-06  1.37217e-07  2.88616e-07

Centrality 00-20%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  0.0498246    0.000990418  0.00448421 
0.65  0.0539284    0.000889854  0.00485356 
0.75  0.0500848    0.000739266  0.00450763 
0.85  0.0444887    0.000618743  0.00400398 
0.95  0.0360784    0.000482484  0.00324706 
1.05  0.0292153    0.000386145  0.00262938 
1.15  0.0232872    0.000310162  0.00209585 
1.25  0.0177635    0.000237458  0.00159872 
1.35  0.0138865    0.000186738  0.00124979 
1.45  0.0106775    0.000144685  0.000960975
1.55  0.00825535   0.000114131  0.000742981
1.65  0.00617735   8.71126e-05  0.000555961
1.75  0.00473017   6.8416e-05   0.000425715
1.85  0.00360719   5.4457e-05   0.000324647
1.95  0.00265996   4.19098e-05  0.000239396
2.1   0.00186811   2.2293e-05   0.00016813 
2.3   0.00106203   1.44695e-05  9.55827e-05
2.5   0.000645766  1.02111e-05  5.81189e-05
2.7   0.000390497  7.1825e-06   3.51447e-05
2.9   0.000246345  5.39152e-06  2.2171e-05 
3.25  0.000103173  1.98403e-06  1.1349e-05 
3.75  3.45771e-05  1.0437e-06   3.80348e-06
4.25  1.31222e-05  6.27872e-07  1.44344e-06
4.75  5.4107e-06   4.2824e-07   5.95177e-07

Centrality 20-40%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  0.0399845    0.000803742  0.0035986  
0.65  0.0411983    0.000688787  0.00370785 
0.75  0.0378259    0.00056593   0.00340433 
0.85  0.0329641    0.000465614  0.00296677 
0.95  0.0262724    0.000358047  0.00236452 
1.05  0.0211956    0.000286155  0.0019076  
1.15  0.0167449    0.00022889   0.00150704 
1.25  0.0127485    0.000175704  0.00114736 
1.35  0.00972778   0.000136179  0.0008755  
1.45  0.00738143   0.000105084  0.000664329
1.55  0.00554883   8.15562e-05  0.000499395
1.65  0.00422042   6.37996e-05  0.000379838
1.75  0.00316106   4.97427e-05  0.000284495
1.85  0.00245869   4.07411e-05  0.000221282
1.95  0.00178469   3.14322e-05  0.000160622
2.1   0.00124548   1.69227e-05  0.000112093
2.3   0.000715491  1.1338e-05   6.43942e-05
2.5   0.000424927  8.00974e-06  3.82434e-05
2.7   0.000249714  5.64117e-06  2.24743e-05
2.9   0.000152597  4.21077e-06  1.37337e-05
3.25  6.97556e-05  1.6478e-06   7.67312e-06
3.75  2.33356e-05  8.65718e-07  2.56692e-06
4.25  8.98587e-06  5.48428e-07  9.88446e-07
4.75  3.86645e-06  3.77467e-07  4.2531e-07 

Centrality 40-60%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  0.0290998    0.000595799  0.00261898 
0.65  0.0303008    0.00051482   0.00272707 
0.75  0.0269976    0.000412173  0.00242978 
0.85  0.0226958    0.000328719  0.00204262 
0.95  0.0177625    0.000249586  0.00159863 
1.05  0.0140664    0.000196937  0.00126598 
1.15  0.0109451    0.000156336  0.000985059
1.25  0.00810731   0.000118122  0.000729658
1.35  0.00623278   9.31937e-05  0.00056095 
1.45  0.0046561    7.18261e-05  0.000419049
1.55  0.00349732   5.64167e-05  0.000314759
1.65  0.00258121   4.36639e-05  0.000232309
1.75  0.00195671   3.49269e-05  0.000176104
1.85  0.00146529   2.82394e-05  0.000131876
1.95  0.00107837   2.24054e-05  9.70533e-05
2.1   0.000726989  1.19867e-05  6.5429e-05 
2.3   0.00041228   8.17855e-06  3.71052e-05
2.5   0.000241688  5.87989e-06  2.17519e-05
2.7   0.000144012  4.21907e-06  1.29611e-05
2.9   8.5697e-05   3.10566e-06  7.71273e-06
3.25  3.96027e-05  1.25461e-06  4.3563e-06 
3.75  1.36658e-05  6.74163e-07  1.50324e-06
4.25  5.39071e-06  4.28731e-07  5.92978e-07
4.75  2.68535e-06  3.09015e-07  2.95389e-07

Centrality 60-88%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  0.0156969    0.000327839  0.00141272 
0.65  0.0154054    0.000268155  0.00138649 
0.75  0.0135469    0.000212515  0.00121922 
0.85  0.0109696    0.000164419  0.000987264
0.95  0.008396     0.000123065  0.00075564 
1.05  0.00646906   9.53523e-05  0.000582215
1.15  0.00485576   7.40536e-05  0.000437018
1.25  0.00351271   5.5497e-05   0.000316144
1.35  0.00263686   4.36456e-05  0.000237317
1.45  0.0019334    3.36882e-05  0.000174006
1.55  0.00140796   2.62773e-05  0.000126716
1.65  0.00103332   2.06257e-05  9.29988e-05
1.75  0.000782074  1.67653e-05  7.03867e-05
1.85  0.000564473  1.33231e-05  5.08026e-05
1.95  0.000427025  1.11406e-05  3.84322e-05
2.1   0.000273595  5.84596e-06  2.46235e-05
2.3   0.000148911  3.99146e-06  1.3402e-05 
2.5   8.91143e-05  2.94504e-06  8.02029e-06
2.7   5.17473e-05  2.09561e-06  4.65726e-06
2.9   2.92992e-05  1.51112e-06  2.63693e-06
3.25  1.36047e-05  6.18535e-07  1.49652e-06
3.75  5.57463e-06  3.7473e-07   6.13209e-07
4.25  1.67002e-06  1.92918e-07  1.83702e-07
4.75  5.90357e-07  1.0491e-07   6.49393e-08

