Centrality 0-100%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  0.136756     0.00310034   0.0177783  
0.65  0.102876     0.00200473   0.0133739  
0.75  0.0755214    0.00133904   0.00981778 
0.85  0.0529157    0.000869606  0.00687904 
0.95  0.0380798    0.000602623  0.00495037 
1.05  0.0272585    0.000418675  0.00354361 
1.15  0.0196436    0.000298768  0.00255367 
1.25  0.0144057    0.00021713   0.00187274 
1.35  0.0104432    0.000153728  0.00135762 
1.45  0.0077851    0.000113087  0.00101206 
1.55  0.00578964   8.37923e-05  0.000752653
1.65  0.00445241   6.48122e-05  0.000578813
1.75  0.00337925   4.91448e-05  0.000439302
1.85  0.00261426   3.82145e-05  0.000339854
1.95  0.00203452   3.00135e-05  0.000264488
2.1   0.0014603    1.5583e-05   0.000189839
2.3   0.000955906  1.06884e-05  0.000124268
2.5   0.000587235  7.29676e-06  7.63406e-05
2.7   0.000376559  5.39685e-06  4.89527e-05
2.9   0.000246426  4.15448e-06  3.20354e-05
3.25  0.00012538   1.86873e-06  1.62994e-05

Centrality 00-20%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  0.253428     0.00580936   0.0329456  
0.65  0.194428     0.00383592   0.0252756  
0.75  0.145339     0.00261478   0.0188941  
0.85  0.103019     0.0017227    0.0133925  
0.95  0.075207     0.00121586   0.00977691 
1.05  0.0538069    0.000848024  0.0069949  
1.15  0.038749     0.000608431  0.00503737 
1.25  0.0289235    0.000453153  0.00376006 
1.35  0.0211149    0.000325805  0.00274494 
1.45  0.0156877    0.000241181  0.0020394  
1.55  0.0116626    0.000180867  0.00151614 
1.65  0.00914136   0.000144156  0.00118838 
1.75  0.00685193   0.000109551  0.000890751
1.85  0.00535948   8.74371e-05  0.000696732
1.95  0.00418234   6.99636e-05  0.000543704
2.1   0.00295068   3.66286e-05  0.000383588
2.3   0.00193123   2.59606e-05  0.00025106 
2.5   0.00117726   1.8415e-05   0.000153044
2.7   0.000754734  1.41431e-05  9.81154e-05
2.9   0.00048815   1.11231e-05  6.34595e-05
3.25  0.000238577  5.08896e-06  3.1015e-05 

Centrality 20-40%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  0.189408     0.00437971   0.024623   
0.65  0.14256      0.00284216   0.0185328  
0.75  0.10503      0.0019096    0.0136539  
0.85  0.0738263    0.00125206   0.00959742 
0.95  0.0530409    0.00087182   0.00689532 
1.05  0.0385282    0.000620925  0.00500867 
1.15  0.0280275    0.000452672  0.00364358 
1.25  0.0202077    0.000327489  0.002627   
1.35  0.014667     0.000235485  0.00190671 
1.45  0.0109674    0.00017649   0.00142576 
1.55  0.00832896   0.000135877  0.00108276 
1.65  0.00622117   0.000104743  0.000808752
1.75  0.00481058   8.26125e-05  0.000625375
1.85  0.00361867   6.46329e-05  0.000470427
1.95  0.00291867   5.34526e-05  0.000379427
2.1   0.00209291   2.88086e-05  0.000272078
2.3   0.00137356   2.07447e-05  0.000178563
2.5   0.000839776  1.49684e-05  0.000109171
2.7   0.000528453  1.1501e-05   6.86989e-05
2.9   0.000347053  9.24152e-06  4.51169e-05
3.25  0.000181947  4.47127e-06  2.36531e-05

Centrality 40-60%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  0.132756     0.0031232    0.0172583  
0.65  0.0972584    0.00196344   0.0126436  
0.75  0.0710809    0.00131623   0.00924052 
0.85  0.0490494    0.000849925  0.00637642 
0.95  0.0354252    0.000598783  0.00460528 
1.05  0.0248469    0.000414512  0.0032301  
1.15  0.0178242    0.000300426  0.00231715 
1.25  0.0130609    0.000223356  0.00169792 
1.35  0.00943549   0.000161496  0.00122661 
1.45  0.00703731   0.000121889  0.00091485 
1.55  0.00514151   9.20852e-05  0.000668396
1.65  0.00401476   7.4356e-05   0.000521919
1.75  0.00302183   5.79946e-05  0.000392838
1.85  0.00237135   4.76579e-05  0.000308276
1.95  0.00179452   3.79793e-05  0.000233288
2.1   0.00132216   2.11884e-05  0.000171881
2.3   0.000844078  1.52945e-05  0.00010973 
2.5   0.000524755  1.136e-05    6.82182e-05
2.7   0.000349557  9.23345e-06  4.54424e-05
2.9   0.000231848  7.39005e-06  3.01402e-05
3.25  0.000116596  3.59615e-06  1.51575e-05

Centrality 60-88%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  0.0669736    0.00159377   0.00870657 
0.65  0.049258     0.0010184    0.00640354 
0.75  0.0340894    0.000646574  0.00443162 
0.85  0.0233353    0.000417528  0.00303359 
0.95  0.0159357    0.000280598  0.00207164 
1.05  0.011382     0.000199943  0.00147966 
1.15  0.00808801   0.000144711  0.00105144 
1.25  0.00580122   0.000106943  0.000754159
1.35  0.00410193   7.69524e-05  0.000533251
1.45  0.00307167   5.91768e-05  0.000399317
1.55  0.00222609   4.50176e-05  0.000289392
1.65  0.00167038   3.56033e-05  0.000217149
1.75  0.0012871    2.88248e-05  0.000167323
1.85  0.00100198   2.38376e-05  0.000130257
1.95  0.000731966  1.86494e-05  9.51556e-05
2.1   0.000542174  1.05738e-05  7.04826e-05
2.3   0.000367789  8.08435e-06  4.78126e-05
2.5   0.000231542  6.18306e-06  3.01005e-05
2.7   0.00014667   4.86022e-06  1.90671e-05
2.9   9.7331e-05   4.09213e-06  1.2653e-05 
3.25  5.41303e-05  2.06599e-06  7.03694e-06

