Centrality 00-10%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  63.1318      0.791017     5.68186    
0.65  39.5861      0.47144      3.56275    
0.75  25.1454      0.294899     2.26309    
0.85  16.6056      0.196328     1.4945     
0.95  11.1179      0.131877     1.00061    
1.05  7.20415      0.0828585    0.648374   
1.15  4.82651      0.0549474    0.434386   
1.25  3.33242      0.0380075    0.299918   
1.35  2.29914      0.0260862    0.206923   
1.45  1.57691      0.0176745    0.141922   
1.55  1.10742      0.0124278    0.0996678  
1.65  0.79117      0.00892057   0.0712053  
1.75  0.559921     0.00627604   0.0503929  
1.85  0.390695     0.00432533   0.0351626  
1.95  0.281727     0.00312689   0.0253554  
2.1   0.178973     0.00143393   0.0161076  
2.3   0.093332     0.000742843  0.00839988 
2.5   0.0509047    0.000413465  0.00458142 
2.7   0.0296008    0.000257368  0.00266407 
2.9   0.017415     0.000166531  0.00156735 
3.25  0.00753746   5.63135e-05  0.000753746
3.75  0.00224757   2.43583e-05  0.000224757
4.25  0.000776361  1.34359e-05  7.76361e-05
4.75  0.000360555  9.53129e-06  3.60555e-05
5.25  0.000155928  1.18361e-05  2.18299e-05
5.75  8.83606e-05  9.80412e-06  1.23705e-05

Centrality 10-20%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  42.607       0.535455     3.83463    
0.65  26.862       0.320654     2.41758    
0.75  17.0701      0.200854     1.53631    
0.85  11.3641      0.134918     1.02277    
0.95  7.56131      0.0900685    0.680518   
1.05  4.92666      0.0566689    0.443399   
1.15  3.3128       0.0377187    0.298152   
1.25  2.29695      0.0261977    0.206725   
1.35  1.58871      0.0180303    0.142984   
1.45  1.09662      0.0122957    0.0986958  
1.55  0.772188     0.00866988   0.0694969  
1.65  0.554717     0.00625722   0.0499245  
1.75  0.394485     0.00442462   0.0355036  
1.85  0.277084     0.00306973   0.0249376  
1.95  0.200489     0.00222737   0.018044   
2.1   0.128926     0.00103307   0.0116033  
2.3   0.0680594    0.000542356  0.00612535 
2.5   0.0376413    0.000306545  0.00338772 
2.7   0.02199      0.000191895  0.0019791  
2.9   0.0131915    0.000126751  0.00118724 
3.25  0.00575159   4.33355e-05  0.000575159
3.75  0.00173181   1.90745e-05  0.000173181
4.25  0.000615569  1.07833e-05  6.15569e-05
