Centrality 0-100%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  0.836649     0.011105     0.0669319  
0.65  0.533231     0.00668212   0.0426585  
0.75  0.346108     0.00421606   0.0276886  
0.85  0.225394     0.00266095   0.0180315  
0.95  0.145607     0.00169499   0.0116486  
1.05  0.0990708    0.00114457   0.00792566 
1.15  0.0680438    0.000795305  0.0054435  
1.25  0.0480548    0.000566864  0.00384438 
1.35  0.0336759    0.000396584  0.00269407 
1.45  0.0235481    0.000274716  0.00188385 
1.55  0.0169516    0.00019864   0.00135613 
1.65  0.0125462    0.000148657  0.0010037  
1.75  0.00914828   0.000108879  0.000731862
1.85  0.00674558   8.05166e-05  0.000539646
1.95  0.00510326   6.1661e-05   0.000408261
2.1   0.00335378   2.94025e-05  0.000268302
2.3   0.00193474   1.75227e-05  0.000154779
2.5   0.001144     1.13134e-05  9.152e-05  
2.7   0.000725831  8.22239e-06  5.80665e-05
2.9   0.000440794  5.81785e-06  3.52635e-05
3.25  0.000207302  2.41037e-06  1.86572e-05
3.75  7.31278e-05  1.47327e-06  6.5815e-06 
4.25  2.83637e-05  9.85245e-07  2.55273e-06
4.75  1.34796e-05  7.61206e-07  1.21316e-06

Centrality 00-20%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  1.53834      0.0204508    0.123067   
0.65  0.997427     0.0125284    0.0797942  
0.75  0.657201     0.00803218   0.0525761  
0.85  0.432589     0.00512919   0.0346071  
0.95  0.281464     0.00329562   0.0225171  
1.05  0.192231     0.00223756   0.0153785  
1.15  0.1334       0.00157468   0.010672   
1.25  0.0949165    0.00113391   0.00759332 
1.35  0.0668368    0.000800019  0.00534694 
1.45  0.0469316    0.000559161  0.00375453 
1.55  0.0339325    0.000408552  0.0027146  
1.65  0.0250613    0.00030709   0.0020049  
1.75  0.0183284    0.000227659  0.00146627 
1.85  0.0135695    0.000170571  0.00108556 
1.95  0.0103745    0.000133496  0.00082996 
2.1   0.00681016   6.47851e-05  0.000544813
2.3   0.00393848   4.0029e-05   0.000315078
2.5   0.0023551    2.70886e-05  0.000188408
2.7   0.0015047    2.05722e-05  0.000120376
2.9   0.000940335  1.54625e-05  7.52268e-05
3.25  0.000439285  6.73812e-06  3.95356e-05
3.75  0.000158563  4.40767e-06  1.42707e-05
4.25  6.07381e-05  3.03967e-06  5.46643e-06
4.75  2.72206e-05  2.2208e-06   2.44985e-06

Centrality 20-40%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  1.15298      0.0153542    0.0922384  
0.65  0.736982     0.00927553   0.0589586  
0.75  0.479127     0.00586884   0.0383302  
0.85  0.313982     0.00373564   0.0251186  
0.95  0.203622     0.00239557   0.0162898  
1.05  0.138895     0.00162627   0.0111116  
1.15  0.0953884    0.00113552   0.00763107 
1.25  0.0672291    0.00081162   0.00537833 
1.35  0.0472939    0.000573877  0.00378351 
1.45  0.0333462    0.000404204  0.0026677  
1.55  0.0240774    0.000296564  0.00192619 
1.65  0.0178941    0.000225304  0.00143153 
1.75  0.0129561    0.000166581  0.00103649 
1.85  0.00967308   0.000126592  0.000773846
1.95  0.00717775   9.71231e-05  0.00057422 
2.1   0.00472823   4.7967e-05   0.000378258
2.3   0.00273368   3.03592e-05  0.000218694
2.5   0.0016236    2.08761e-05  0.000129888
2.7   0.0010337    1.61307e-05  8.2696e-05 
2.9   0.000608676  1.18502e-05  4.86941e-05
3.25  0.000286554  5.34353e-06  2.57899e-05
3.75  9.7152e-05   3.46489e-06  8.74368e-06
4.25  4.16139e-05  2.62036e-06  3.74525e-06
4.75  2.10439e-05  2.12199e-06  1.89395e-06

Centrality 40-60%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  0.814546     0.0108805    0.0651637  
0.65  0.512961     0.00647801   0.0410369  
0.75  0.330053     0.00406446   0.0264042  
0.85  0.212751     0.00254436   0.0170201  
0.95  0.136217     0.00161431   0.0108974  
1.05  0.0927361    0.00109673   0.00741889 
1.15  0.0633767    0.000764724  0.00507014 
1.25  0.0445208    0.000547124  0.00356166 
1.35  0.0310785    0.000385955  0.00248628 
1.45  0.0214664    0.000268099  0.00171731 
1.55  0.0154165    0.000197206  0.00123332 
1.65  0.0114326    0.000150793  0.000914608
1.75  0.00836185   0.000113764  0.000668948
1.85  0.00610311   8.5608e-05   0.000488249
1.95  0.00461789   6.79197e-05  0.000369431
2.1   0.00301503   3.37932e-05  0.000241202
2.3   0.00173497   2.19506e-05  0.000138798
2.5   0.00100926   1.52095e-05  8.07408e-05
2.7   0.000631516  1.18715e-05  5.05213e-05
2.9   0.000381946  9.02889e-06  3.05557e-05
3.25  0.000182503  4.24164e-06  1.64253e-05
3.75  6.1682e-05   2.81707e-06  5.55138e-06
4.25  2.19077e-05  1.78598e-06  1.97169e-06
4.75  1.09873e-05  1.58282e-06  9.88857e-07

Centrality 60-88%
pT    Inv. Yield   Stat. Err    Sys. Err   
0.55  0.421665     0.00564231   0.0337332  
0.65  0.258438     0.0032754    0.020675   
0.75  0.161664     0.00199926   0.0129331  
0.85  0.101832     0.00122737   0.00814656 
0.95  0.0645253    0.000774061  0.00516202 
1.05  0.0430467    0.000516505  0.00344374 
1.15  0.028734     0.00035398   0.00229872 
1.25  0.0200181    0.000252501  0.00160145 
1.35  0.0137327    0.000176677  0.00109862 
1.45  0.00943817   0.000123471  0.000755054
1.55  0.00665262   9.02466e-05  0.00053221 
1.65  0.00489423   6.94077e-05  0.000391538
1.75  0.00357555   5.31489e-05  0.000286044
1.85  0.00255058   3.97583e-05  0.000204046
1.95  0.00194814   3.2333e-05   0.000155851
2.1   0.00129224   1.66227e-05  0.000103379
2.3   0.000736546  1.10952e-05  5.89237e-05
2.5   0.000421713  7.79253e-06  3.3737e-05 
2.7   0.000263136  6.2038e-06   2.10509e-05
2.9   0.000154412  4.69242e-06  1.2353e-05 
3.25  7.26272e-05  2.20618e-06  6.53645e-06
3.75  2.7652e-05   1.62499e-06  2.48868e-06
4.25  9.86369e-06  1.05247e-06  8.87732e-07
4.75  4.61746e-06  8.42559e-07  4.15571e-07

