Centrality 0-10%
pT    Inv. Yield  Stat. Err.   Sys. Err   
0.55  11.6174     0.266209     1.27791    
0.65  8.79438     0.1745       0.967382   
0.75  6.51374     0.12079      0.716511   
0.85  4.87565     0.0878658    0.536322   
0.95  3.39261     0.0583217    0.373187   
1.05  2.41429     0.0385167    0.265572   
1.15  1.68851     0.0255018    0.185736   
1.25  1.23605     0.0181914    0.135966   
1.35  0.891124    0.0127743    0.0980236  
1.45  0.6364      0.00884978   0.070004   
1.55  0.464076    0.00637498   0.0510484  
1.65  0.337947    0.00452997   0.0371742  
1.75  0.251243    0.00333553   0.0276367  
1.85  0.182618    0.00237609   0.020088   
1.95  0.141444    0.00185659   0.0155588  
2.1   0.0908817   0.000830013  0.00999699 
2.3   0.0527849   0.00048154   0.00580634 
2.5   0.0295279   0.000274028  0.00324807 
2.7   0.0171211   0.000169323  0.00188332 
2.9   0.0103212   0.000112631  0.00113533 
3.25  0.00459976  4.00161e-05  0.000505974
3.75  0.00157442  2.06889e-05  0.000173186

Centrality 10-20%
pT    Inv. Yield  Stat. Err.   Sys. Err   
0.55  7.59984     0.175565     0.835982   
0.65  5.78868     0.115938     0.636755   
0.75  4.31689     0.0807348    0.474858   
0.85  3.26024     0.0594104    0.358626   
0.95  2.25978     0.0393818    0.248576   
1.05  1.63068     0.0260388    0.179375   
1.15  1.14392     0.0172922    0.125831   
1.25  0.838128    0.0123431    0.0921941  
1.35  0.607137    0.00870915   0.0667851  
1.45  0.433701    0.00603558   0.0477071  
1.55  0.318304    0.00437897   0.0350134  
1.65  0.232025    0.00311472   0.0255228  
1.75  0.173273    0.00230375   0.01906    
1.85  0.125944    0.00164258   0.0138538  
1.95  0.0978682   0.00128748   0.0107655  
2.1   0.0634173   0.000580371  0.0069759  
2.3   0.0371391   0.000340293  0.0040853  
2.5   0.0212177   0.000198073  0.00233395 
2.7   0.0125609   0.000125051  0.0013817  
2.9   0.00761821  8.39351e-05  0.000838003
3.25  0.00346926  3.05409e-05  0.000381619
3.75  0.00121528  1.62691e-05  0.000133681

Centrality 20-40%
pT    Inv. Yield  Stat. Err.   Sys. Err   
0.55  4.13408     0.0702638    0.454749   
0.65  3.1109      0.0459815    0.342199   
0.75  2.33715     0.0323593    0.257086   
0.85  1.73401     0.023445     0.190741   
0.95  1.20075     0.0156409    0.132082   
1.05  0.872193    0.0100944    0.0959412  
1.15  0.609799    0.0066853    0.0670779  
1.25  0.447131    0.00477757   0.0491844  
1.35  0.323481    0.00337035   0.0355829  
1.45  0.231314    0.00233963   0.0254445  
1.55  0.169237    0.00169272   0.0186161  
1.65  0.12341     0.0012041    0.0135751  
1.75  0.0922741   0.000893775  0.0101502  
1.85  0.0677391   0.000644017  0.0074513  
1.95  0.052676    0.000505583  0.00579436 
2.1   0.0344629   0.000230451  0.00379092 
2.3   0.020607    0.000138299  0.00226677 
2.5   0.0118901   8.17467e-05  0.00130791 
2.7   0.00710877  5.247e-05    0.000781965
2.9   0.00442849  3.6457e-05   0.000487134
3.25  0.00206914  1.38045e-05  0.000227605
3.75  0.00072757  7.62895e-06  8.00327e-05

Centrality 40-60%
pT    Inv. Yield   Stat. Err.   Sys. Err   
0.55  1.5241       0.0280403    0.167651   
0.65  1.16441      0.0187151    0.128085   
0.75  0.855155     0.0130303    0.094067   
0.85  0.623088     0.0094087    0.0685397  
0.95  0.425624     0.00634194   0.0468186  
1.05  0.302657     0.00358523   0.0332923  
1.15  0.209687     0.00235716   0.0230656  
1.25  0.152731     0.00167564   0.0168004  
1.35  0.109998     0.00117936   0.0120998  
1.45  0.0784382    0.000818272  0.0086282  
1.55  0.0573378    0.000592582  0.00630716 
1.65  0.0418844    0.000423987  0.00460728 
1.75  0.0312852    0.000314566  0.00344137 
1.85  0.0230018    0.000228647  0.0025302  
1.95  0.0179526    0.000180823  0.00197479 
2.1   0.01193      8.44222e-05  0.0013123  
2.3   0.00721816   5.19364e-05  0.000793998
2.5   0.00425673   3.21671e-05  0.00046824 
2.7   0.00261249   2.17577e-05  0.000287374
2.9   0.00164823   1.58092e-05  0.000181305
3.25  0.00080021   6.51328e-06  8.80231e-05
3.75  0.000298709  4.0577e-06   3.2858e-05 

Centrality 60-92%
pT    Inv. Yield   Stat. Err.   Sys. Err   
0.55  0.307959     0.00657216   0.0338755  
0.65  0.230942     0.0043575    0.0254036  
0.75  0.158604     0.00297894   0.0174464  
0.85  0.112226     0.00217325   0.0123449  
0.95  0.0744484    0.00149755   0.00818932 
1.05  0.0521251    0.000599483  0.00573376 
1.15  0.0355951    0.00039079   0.00391546 
1.25  0.0255709    0.000276131  0.0028128  
1.35  0.0183999    0.000195457  0.00202399 
1.45  0.0129155    0.000134865  0.0014207  
1.55  0.00954586   9.95389e-05  0.00105004 
1.65  0.00689513   7.15456e-05  0.000758464
1.75  0.00518987   5.44048e-05  0.000570886
1.85  0.00385106   4.05022e-05  0.000423617
1.95  0.00301408   3.27677e-05  0.000331549
2.1   0.00202701   1.59544e-05  0.000222971
2.3   0.00127802   1.06768e-05  0.000140582
2.5   0.000760757  7.07596e-06  8.36833e-05
2.7   0.000465841  5.11827e-06  5.12425e-05
2.9   0.000302936  4.0239e-06   3.3323e-05 
3.25  0.000148397  1.8156e-06   1.63237e-05
3.75  5.72812e-05  1.26397e-06  6.30093e-06

