Centrality 0-100%
pT    Inv. Yield   Stat. Err.   Sys. Err   
0.55  0.828694     0.0110992    0.0662955  
0.65  0.520171     0.00650985   0.0416137  
0.75  0.33712      0.00408905   0.0269696  
0.85  0.220558     0.00261171   0.0176446  
0.95  0.144553     0.00168697   0.0115642  
1.05  0.0989066    0.00115596   0.00791253 
1.15  0.0678456    0.000793859  0.00542765 
1.25  0.0473999    0.000558764  0.00379199 
1.35  0.0330171    0.000386733  0.00264137 
1.45  0.023654     0.000277402  0.00189232 
1.55  0.017254     0.000204495  0.00138032 
1.65  0.0121736    0.000142828  0.000973888
1.75  0.0091521    0.00010892   0.000732168
1.85  0.00660797   7.83151e-05  0.000528638
1.95  0.00498664   5.97708e-05  0.000398931
2.1   0.00333772   2.91923e-05  0.000267018
2.3   0.00192701   1.74699e-05  0.000154161
2.5   0.0011524    1.14259e-05  9.2192e-05 
2.7   0.000703678  7.90127e-06  5.62942e-05
2.9   0.000437156  5.76255e-06  3.49725e-05
3.25  0.000206781  2.39687e-06  1.86103e-05
3.75  7.00807e-05  1.42865e-06  6.30726e-06
4.25  2.84157e-05  9.83665e-07  2.55741e-06
4.75  1.13278e-05  6.67341e-07  1.0195e-06 

Centrality 0-20%
pT    Inv. Yield   Stat. Err.   Sys. Err   
0.55  1.52834      0.0205072    0.122267   
0.65  0.971095     0.0121813    0.0776876  
0.75  0.637272     0.00775554   0.0509818  
0.85  0.421628     0.00501413   0.0337302  
0.95  0.279364     0.00327791   0.0223491  
1.05  0.192426     0.00226492   0.0153941  
1.15  0.132787     0.00156867   0.010623   
1.25  0.0933511    0.00111376   0.00746809 
1.35  0.0654572    0.000778701  0.00523658 
1.45  0.0473884    0.000566534  0.00379107 
1.55  0.0346611    0.000421304  0.00277289 
1.65  0.02452      0.000296998  0.0019616  
1.75  0.0185403    0.000229522  0.00148322 
1.85  0.0133661    0.000166698  0.00106929 
1.95  0.0101153    0.000128947  0.000809224
2.1   0.0067931    6.43455e-05  0.000543448
2.3   0.00392306   3.97968e-05  0.000313845
2.5   0.0023695    2.7278e-05   0.00018956 
2.7   0.00147865   1.99454e-05  0.000118292
2.9   0.000918011  1.51478e-05  7.34409e-05
3.25  0.000446667  6.76787e-06  4.02e-05   
3.75  0.000154305  4.37323e-06  1.38875e-05
4.25  5.53414e-05  2.84906e-06  4.98073e-06
4.75  2.46875e-05  2.15299e-06  2.22187e-06

Centrality 20-40%
pT    Inv. Yield   Stat. Err.   Sys. Err   
0.55  1.14029      0.0153117    0.0912232  
0.65  0.719917     0.00904768   0.0575934  
0.75  0.468775     0.0057125    0.037502   
0.85  0.307383     0.00366412   0.0245906  
0.95  0.201883     0.00237901   0.0161506  
1.05  0.138413     0.00163793   0.011073   
1.15  0.0953345    0.0011347    0.00762676 
1.25  0.0665888    0.00080209   0.0053271  
1.35  0.0466518    0.000561994  0.00373214 
1.45  0.033308     0.000405033  0.00266464 
1.55  0.0242337    0.0003009    0.0019387  
1.65  0.0172111    0.000214025  0.00137689 
1.75  0.0129133    0.000165189  0.00103306 
1.85  0.00935632   0.000121576  0.000748506
1.95  0.00703601   9.42635e-05  0.000562881
2.1   0.00471556   4.76554e-05  0.000377245
2.3   0.00270441   2.99031e-05  0.000216353
2.5   0.0016462    2.10881e-05  0.000131696
2.7   0.000987734  1.528e-05    7.90187e-05
2.9   0.000632558  1.20975e-05  5.06046e-05
3.25  0.00028624   5.30939e-06  2.57616e-05
3.75  9.74576e-05  3.46065e-06  8.77118e-06
4.25  4.23861e-05  2.615e-06    3.81475e-06
4.75  1.61387e-05  1.69263e-06  1.45248e-06

Centrality 40-60%
pT    Inv. Yield   Stat. Err.   Sys. Err   
0.55  0.805412     0.0108411    0.064433   
0.65  0.50111      0.00630961   0.0400888  
0.75  0.322087     0.00393667   0.025767   
0.85  0.209062     0.00250299   0.016725   
0.95  0.136105     0.00161503   0.0108884  
1.05  0.0919278    0.00109818   0.00735422 
1.15  0.0629378    0.000758873  0.00503502 
1.25  0.0440506    0.000539004  0.00352405 
1.35  0.0302348    0.000372411  0.00241878 
1.45  0.0215022    0.000268965  0.00172018 
1.55  0.0157214    0.00020219   0.00125771 
1.65  0.0110447    0.000143642  0.000883576
1.75  0.00822848   0.000111214  0.000658278
1.85  0.00596417   8.29541e-05  0.000477134
1.95  0.00446652   6.48682e-05  0.000357322
2.1   0.00300636   3.35305e-05  0.000240509
2.3   0.00174236   2.17967e-05  0.000139389
2.5   0.00101416   1.52327e-05  8.11328e-05
2.7   0.000615328  1.14058e-05  4.92262e-05
2.9   0.00036914   8.85487e-06  2.95312e-05
3.25  0.00017774   4.12123e-06  1.59966e-05
3.75  5.68497e-05  2.63378e-06  5.11647e-06
4.25  2.41666e-05  1.95431e-06  2.17499e-06
4.75  9.7231e-06   1.36444e-06  8.75079e-07

Centrality 60-88%
pT    Inv. Yield   Stat. Err.   Sys. Err   
0.55  0.416342     0.00561416   0.0333074  
0.65  0.252346     0.00318668   0.0201877  
0.75  0.157714     0.00193926   0.0126171  
0.85  0.100223     0.00120943   0.00801784 
0.95  0.0636783    0.000763365  0.00509426 
1.05  0.0432303    0.000523203  0.00345842 
1.15  0.028841     0.000354609  0.00230728 
1.25  0.0196552    0.000246961  0.00157242 
1.35  0.0134798    0.000171772  0.00107838 
1.45  0.0094722    0.000123732  0.000757776
1.55  0.00685547   9.31913e-05  0.000548438
1.65  0.00473765   6.60798e-05  0.000379012
1.75  0.00355214   5.21186e-05  0.000284171
1.85  0.00253988   3.91354e-05  0.00020319 
1.95  0.00193709   3.14674e-05  0.000154967
2.1   0.00126257   1.6205e-05   0.000101006
2.3   0.000736604  1.09361e-05  5.89283e-05
2.5   0.00042099   7.7406e-06   3.36792e-05
2.7   0.000248116  5.86898e-06  1.98493e-05
2.9   0.000150046  4.57402e-06  1.20037e-05
3.25  6.8651e-05   2.11918e-06  6.17859e-06
